Model,Accuracy,Precision,Recall,F1,ROC-AUC,CV_F1,Overfit,Süre(s)
Ridge Classifier,0.719,0.3864,0.6593,0.4872,0.7628,0.4963,0.01,5.09
Logistic Regression,0.713,0.3815,0.6716,0.4866,0.7629,0.4932,0.0103,6.77
SVM (RBF),0.7235,0.3896,0.6444,0.4856,0.742,0.4942,0.0474,38.26
XGBoost,0.732,0.3924,0.5901,0.4714,0.7449,0.4743,0.1724,1.39
LightGBM,0.7205,0.3793,0.5975,0.464,0.7461,0.4728,0.1488,4.32
Decision Tree,0.697,0.3537,0.6,0.4451,0.6983,0.4428,0.1026,0.23
Gradient Boosting,0.8065,0.5484,0.2519,0.3452,0.7498,0.3632,0.1692,4.75
AdaBoost,0.815,0.6207,0.2222,0.3273,0.7607,0.3204,-0.0069,3.15
KNN,0.8015,0.5225,0.2296,0.319,0.6901,0.2917,0.1142,4.39
Extra Trees,0.793,0.4772,0.2321,0.3123,0.7154,0.329,0.6877,3.18
Random Forest,0.8005,0.5192,0.2,0.2888,0.7324,0.3111,0.7112,3.56
Gaussian NB,0.8125,0.625,0.1852,0.2857,0.7514,0.2812,-0.0046,0.1
